"id"	"activity"
"obs_1004"	"Lying"
"obs_934"	"Lying"
"obs_2232"	"Self Pace walk"
"obs_2600"	"Self Pace walk"
"obs_996"	"Lying"
"obs_3677"	"Running 3 METs"
"obs_4997"	"Running 3 METs"
"obs_578"	"Running 3 METs"
"obs_79"	"Running 5 METs"
"obs_3254"	"Running 5 METs"
"obs_3808"	"Running 5 METs"
"obs_959"	"Running 5 METs"
"obs_2171"	"Sitting"
"obs_4591"	"Sitting"
"obs_4665"	"Running 7 METs"
"obs_951"	"Running 7 METs"
"obs_2713"	"Running 7 METs"
"obs_595"	"Running 7 METs"
"obs_2533"	"Self Pace walk"
"obs_5717"	"Running 3 METs"
"obs_2577"	"Running 3 METs"
"obs_40"	"Running 5 METs"
"obs_4973"	"Running 5 METs"
"obs_3769"	"Running 5 METs"
"obs_3435"	"Running 5 METs"
"obs_478"	"Running 5 METs"
"obs_5523"	"Sitting"
"obs_598"	"Sitting"
"obs_3991"	"Sitting"
"obs_3475"	"Running 7 METs"
"obs_1456"	"Running 7 METs"
"obs_6011"	"Sitting"
"obs_488"	"Sitting"
"obs_5552"	"Lying"
"obs_1859"	"Lying"
"obs_1171"	"Lying"
"obs_1912"	"Sitting"
"obs_3936"	"Lying"
"obs_529"	"Lying"
"obs_4377"	"Self Pace walk"
"obs_898"	"Self Pace walk"
"obs_2058"	"Self Pace walk"
"obs_534"	"Lying"
"obs_5712"	"Lying"
"obs_4389"	"Running 3 METs"
"obs_3219"	"Running 3 METs"
"obs_4871"	"Running 3 METs"
"obs_911"	"Lying"
"obs_1938"	"Running 5 METs"
"obs_1046"	"Running 5 METs"
"obs_6065"	"Running 5 METs"
"obs_1684"	"Self Pace walk"
"obs_2934"	"Running 7 METs"
"obs_3556"	"Running 7 METs"
"obs_4638"	"Running 7 METs"
"obs_2524"	"Running 7 METs"
"obs_716"	"Lying"
"obs_2549"	"Running 7 METs"
"obs_4874"	"Lying"
"obs_4301"	"Sitting"
"obs_2519"	"Sitting"
"obs_3743"	"Self Pace walk"
"obs_2114"	"Self Pace walk"
"obs_4405"	"Self Pace walk"
"obs_4811"	"Self Pace walk"
"obs_1454"	"Lying"
"obs_3433"	"Lying"
"obs_5135"	"Running 3 METs"
"obs_4582"	"Running 3 METs"
"obs_725"	"Running 3 METs"
"obs_5298"	"Running 3 METs"
"obs_3010"	"Lying"
"obs_2949"	"Lying"
"obs_4990"	"Lying"
"obs_4517"	"Running 5 METs"
"obs_5588"	"Running 5 METs"
"obs_5602"	"Sitting"
"obs_4536"	"Running 5 METs"
"obs_3636"	"Sitting"
"obs_613"	"Sitting"
"obs_3039"	"Sitting"
"obs_2756"	"Running 7 METs"
"obs_4234"	"Lying"
"obs_3789"	"Self Pace walk"
"obs_2428"	"Self Pace walk"
"obs_2145"	"Self Pace walk"
"obs_6233"	"Lying"
"obs_2523"	"Running 3 METs"
"obs_2222"	"Running 3 METs"
"obs_4241"	"Running 3 METs"
"obs_347"	"Running 3 METs"
"obs_3958"	"Running 3 METs"
"obs_118"	"Lying"
"obs_309"	"Lying"
"obs_3296"	"Sitting"
"obs_4431"	"Sitting"
"obs_13"	"Sitting"
"obs_4733"	"Sitting"
"obs_1024"	"Sitting"
"obs_2574"	"Sitting"
"obs_4842"	"Lying"
"obs_755"	"Lying"
"obs_2102"	"Sitting"
"obs_3286"	"Self Pace walk"
"obs_191"	"Self Pace walk"
"obs_2891"	"Self Pace walk"
"obs_4790"	"Self Pace walk"
"obs_5599"	"Self Pace walk"
"obs_3727"	"Running 3 METs"
"obs_166"	"Running 3 METs"
"obs_3177"	"Running 3 METs"
"obs_2007"	"Running 3 METs"
"obs_5151"	"Running 3 METs"
"obs_547"	"Lying"
"obs_5773"	"Running 5 METs"
"obs_5269"	"Running 5 METs"
"obs_2020"	"Running 5 METs"
"obs_19"	"Running 5 METs"
"obs_4826"	"Running 5 METs"
"obs_1831"	"Running 5 METs"
"obs_3948"	"Sitting"
"obs_5754"	"Running 7 METs"
"obs_4765"	"Running 7 METs"
"obs_4991"	"Running 7 METs"
"obs_865"	"Running 7 METs"
"obs_4710"	"Running 7 METs"
"obs_2030"	"Running 7 METs"
"obs_2964"	"Lying"
"obs_3968"	"Lying"
"obs_5492"	"Sitting"
"obs_1309"	"Sitting"
